density,conduct,capacity,init_temp,top_temp,bot_temp,left_temp,right_temp,module,length,n_points,final_time
3241.607,83.183,424.676,750.027,1061.769,276.177,253.895,590.068,1,5,50,500
3295.094,55.724,540.944,465.177,1302.975,449.981,124.287,951.798,1,5,50,500
2482.812,83.584,957.016,378.983,1494.523,191.722,239.527,759.152,1,5,50,500
2657.32,77.676,437.235,237.053,1010.105,236.26,140.252,891.283,1,5,50,500
3652.071,34.683,561.964,773.015,684.707,151.952,101.026,986.692,1,5,50,500
2026.078,40.059,310.854,502.082,1213.602,291.488,200.783,491.286,1,5,50,500
2898.39,33.773,864.903,490.176,711.624,562.351,240.983,741.224,1,5,50,500
2743.544,35.352,783.557,269.302,423.946,317.622,292.353,654.563,1,5,50,500
1422.223,28.251,499.533,722.979,1431.898,292.009,111.466,628.458,1,5,50,500
3646.0,27.442,911.037,213.598,412.332,387.193,237.262,326.982,1,5,50,500
2724.169,43.694,448.877,385.668,438.043,202.483,171.793,390.642,1,5,50,500
1945.32,66.806,253.719,484.612,430.879,313.378,281.142,320.818,1,5,50,500
1781.087,34.564,834.13,771.418,644.171,509.673,319.718,452.567,1,5,50,500
1607.496,62.259,577.068,693.935,820.184,477.576,124.581,832.179,1,5,50,500
2084.471,42.322,847.83,765.513,1222.198,442.165,294.966,406.574,1,5,50,500
1958.155,39.775,450.265,298.76,871.757,522.447,219.02,602.083,1,5,50,500
2553.747,41.254,935.949,436.411,1111.968,216.383,209.134,861.665,1,5,50,500
1502.111,75.838,625.764,725.119,809.368,247.079,273.646,479.872,1,5,50,500
2812.644,37.42,685.671,714.322,1323.633,582.84,230.776,302.942,1,5,50,500
2386.853,43.031,877.873,529.109,1369.946,348.375,243.837,699.339,1,5,50,500
1709.295,90.603,587.243,556.186,596.118,243.117,212.142,779.374,1,5,50,500
1703.267,69.125,942.116,501.632,1190.712,529.122,232.881,275.112,1,5,50,500
2461.652,60.569,945.171,648.316,1529.376,487.505,321.743,801.492,1,5,50,500
2198.374,76.277,680.767,211.37,1103.188,343.592,156.21,970.166,1,5,50,500
1703.803,59.518,531.966,295.479,1152.082,250.227,234.753,322.829,1,5,50,500
1226.346,91.351,739.597,298.752,1383.167,175.032,348.078,740.633,1,5,50,500
3517.479,75.07,723.45,476.399,1003.281,178.463,293.413,446.487,1,5,50,500
3462.873,28.196,847.782,476.877,1598.449,537.631,330.776,250.75,1,5,50,500
3645.217,76.309,338.744,735.483,506.982,566.262,119.275,506.62,1,5,50,500
1986.831,78.996,360.244,757.472,949.603,596.578,332.457,908.133,1,5,50,500
2005.441,80.43,611.443,694.903,1598.42,384.746,344.367,277.535,1,5,50,500
3110.777,88.532,290.702,377.276,1008.83,590.823,258.905,634.15,1,5,50,500
2333.881,62.885,693.228,632.552,951.4,431.135,368.71,707.172,1,5,50,500
2363.959,55.222,435.639,287.048,1098.383,153.276,342.919,499.767,1,5,50,500
3059.425,75.344,657.981,728.317,694.994,456.947,120.424,323.614,1,5,50,500
2814.819,63.759,390.464,486.784,880.68,475.971,324.735,920.567,1,5,50,500
2891.144,88.563,404.357,291.396,844.153,595.213,232.807,642.55,1,5,50,500
3256.682,76.213,571.589,339.656,1251.651,286.486,369.403,551.168,1,5,50,500
2752.916,36.674,687.073,600.192,612.972,323.167,257.721,811.137,1,5,50,500
2693.396,69.339,674.713,779.765,1314.159,186.477,357.62,539.772,1,5,50,500
3302.415,63.783,766.178,218.085,1069.336,565.018,338.584,393.318,1,5,50,500
2891.913,76.524,711.515,205.467,853.104,566.653,361.118,639.733,1,5,50,500
2506.803,32.994,939.586,374.226,630.396,465.867,394.182,877.862,1,5,50,500
1291.959,85.563,358.913,207.215,773.454,508.564,155.687,647.301,1,5,50,500
3575.796,73.48,741.527,331.157,910.659,295.836,291.645,636.135,1,5,50,500
3284.132,49.497,623.88,774.185,694.369,303.354,116.379,509.514,1,5,50,500
3600.348,60.222,703.87,562.653,727.822,283.489,196.744,672.115,1,5,50,500
3641.465,28.209,367.062,515.509,892.157,544.103,160.649,762.487,1,5,50,500
1623.704,56.968,938.698,450.208,1346.201,335.871,277.01,263.841,1,5,50,500
1296.563,70.698,849.904,713.924,1140.087,599.389,172.249,419.081,1,5,50,500
2108.38,69.373,387.749,538.296,947.967,176.312,256.25,682.276,1,5,50,500
3434.499,47.594,478.142,330.506,1215.855,208.436,190.438,663.854,1,5,50,500
1654.065,31.904,759.856,387.806,858.386,397.752,301.789,787.21,1,5,50,500
3516.666,58.953,268.789,772.109,524.076,391.726,341.132,792.392,1,5,50,500
1304.359,92.867,668.195,302.189,1261.723,552.737,150.367,456.528,1,5,50,500
3046.618,89.612,694.551,417.099,1535.868,549.514,135.182,682.712,1,5,50,500
1358.957,81.911,633.634,766.206,1220.817,496.587,387.744,811.108,1,5,50,500
2603.483,30.03,644.174,643.173,500.227,365.854,293.12,440.601,1,5,50,500
2697.249,39.664,877.553,531.85,688.525,417.94,289.29,611.956,1,5,50,500
2846.204,32.807,434.273,673.902,1079.147,474.87,302.694,336.221,1,5,50,500
1525.339,57.23,840.202,354.248,614.14,490.514,192.866,306.694,1,5,50,500
3708.402,26.452,420.324,609.313,1522.064,501.953,292.63,815.882,1,5,50,500
2379.509,34.211,819.394,324.503,1472.229,544.143,269.726,816.15,1,5,50,500
3553.263,69.228,550.728,362.009,992.263,251.507,127.17,569.363,1,5,50,500
2805.188,33.302,727.186,254.48,980.184,268.927,395.167,857.501,1,5,50,500
2198.685,91.742,868.943,254.048,1369.901,190.443,363.115,895.598,1,5,50,500
3375.589,93.446,759.899,355.434,1064.642,334.574,164.61,360.145,1,5,50,500
2712.948,69.294,257.624,511.506,1057.373,234.655,300.416,414.455,1,5,50,500
3463.641,27.955,398.254,563.385,1511.091,536.475,230.977,436.01,1,5,50,500
3595.942,75.668,859.991,611.562,1242.337,445.285,380.663,592.427,1,5,50,500
3134.7,74.772,868.151,704.941,939.458,537.594,295.238,825.718,1,5,50,500
2888.061,56.956,247.87,792.451,1148.014,463.983,267.813,696.012,1,5,50,500
1342.51,39.562,291.675,661.263,463.374,346.202,235.962,706.918,1,5,50,500
1608.469,84.251,278.664,214.745,1557.937,443.755,221.387,912.16,1,5,50,500
2136.222,83.775,291.162,642.135,638.159,289.51,390.169,264.555,1,5,50,500
1502.915,42.112,913.911,603.591,887.027,428.578,251.341,763.263,1,5,50,500
2985.214,66.685,555.617,281.837,731.88,345.526,351.424,593.919,1,5,50,500
1297.183,33.514,762.81,676.548,1512.334,574.422,317.687,708.991,1,5,50,500
1576.703,68.007,493.572,428.301,1347.169,495.781,226.118,958.728,1,5,50,500
3324.441,45.722,686.444,502.662,1558.004,424.508,291.796,570.813,1,5,50,500
1996.639,45.182,541.285,721.561,760.474,217.712,147.246,814.773,1,5,50,500
1326.238,46.46,957.797,361.743,739.59,157.574,226.08,335.888,1,5,50,500
2828.89,83.071,822.047,458.59,630.212,253.892,104.389,522.028,1,5,50,500
1432.261,71.513,413.278,259.96,528.745,533.463,160.367,815.14,1,5,50,500
3227.311,33.603,670.755,418.884,1150.425,580.776,234.267,904.701,1,5,50,500
3768.31,42.135,652.663,319.34,504.15,263.787,372.349,635.013,1,5,50,500
3127.113,47.962,839.488,680.17,1527.573,205.587,221.674,501.228,1,5,50,500
2530.123,58.963,751.891,560.335,1149.965,163.229,124.004,382.54,1,5,50,500
3074.643,62.757,898.314,734.555,514.909,421.557,201.089,548.471,1,5,50,500
2396.217,71.037,756.577,389.051,741.656,445.896,389.835,760.259,1,5,50,500
1463.92,25.456,574.466,796.249,609.816,390.243,174.558,284.431,1,5,50,500
1582.504,36.992,492.858,583.405,508.909,260.369,191.435,339.435,1,5,50,500
3669.991,26.491,547.802,362.18,413.892,191.282,187.106,310.136,1,5,50,500
1349.693,45.171,421.29,668.277,1579.205,325.901,363.212,471.335,1,5,50,500
2004.105,26.768,263.949,610.168,886.827,231.062,361.509,633.111,1,5,50,500
3117.625,85.973,880.948,616.766,1191.959,261.401,264.587,381.596,1,5,50,500
1383.65,59.19,784.287,499.416,1251.771,464.969,168.404,697.093,1,5,50,500
1863.251,77.918,358.515,756.307,1363.032,531.164,261.953,805.559,1,5,50,500
2560.713,80.235,816.877,762.869,644.431,248.945,205.048,335.412,1,5,50,500
2095.597,40.802,488.109,508.678,653.111,241.213,369.934,923.383,1,5,50,500
1463.421,62.39,556.084,261.061,616.187,554.759,102.553,696.512,1,5,50,500
2378.657,62.011,425.569,341.826,1229.859,206.748,265.263,946.915,1,5,50,500
3456.239,38.317,820.167,423.46,1374.692,298.411,171.044,763.883,1,5,50,500
3116.789,85.535,931.766,718.036,638.134,185.036,314.591,283.641,1,5,50,500
1484.76,45.384,524.299,211.198,989.404,547.005,281.995,318.205,1,5,50,500
1953.242,32.176,401.188,628.566,1406.127,498.201,172.895,991.552,1,5,50,500
2775.04,68.674,887.113,333.885,1006.944,462.608,259.987,943.257,1,5,50,500
2239.093,82.399,888.657,657.385,1221.713,316.339,118.991,846.037,1,5,50,500
3290.727,89.529,771.686,530.225,799.228,369.848,248.548,903.846,1,5,50,500
2502.387,58.202,333.786,267.001,898.416,302.924,246.459,968.18,1,5,50,500
2132.928,50.876,595.742,719.561,1352.054,158.428,167.888,458.466,1,5,50,500
2455.764,92.387,505.782,391.834,594.525,197.222,245.359,830.565,1,5,50,500
1979.674,57.145,945.251,686.908,889.667,264.318,331.66,484.26,1,5,50,500
3791.314,92.232,662.746,682.766,1497.772,357.919,173.99,488.181,1,5,50,500
1994.271,23.536,699.738,692.188,686.867,226.569,177.268,865.455,1,5,50,500
1203.035,53.597,940.145,674.007,481.546,270.369,204.791,726.871,1,5,50,500
1211.392,26.6,784.939,654.518,717.834,225.247,100.177,831.57,1,5,50,500
2242.332,73.742,849.936,658.284,486.959,336.66,272.228,346.112,1,5,50,500
2454.438,38.632,296.465,567.359,952.046,493.808,344.164,817.121,1,5,50,500
2930.413,41.837,837.35,384.998,646.119,216.238,184.837,613.226,1,5,50,500
1636.376,33.442,662.857,204.641,1336.393,496.25,194.935,862.468,1,5,50,500
2803.911,60.625,579.008,579.131,1157.633,428.309,273.921,628.715,1,5,50,500
1443.302,64.369,754.384,788.315,861.407,570.532,371.816,731.341,1,5,50,500
2149.277,69.269,252.897,786.742,854.885,174.409,310.696,277.472,1,5,50,500
1388.538,93.685,617.383,497.845,1458.264,369.712,214.055,846.21,1,5,50,500
3730.92,49.03,908.375,487.977,1533.595,595.081,176.469,774.897,1,5,50,500
2138.435,87.029,555.436,733.979,1361.175,155.8,327.049,541.582,1,5,50,500
1435.153,48.183,824.324,698.215,493.586,343.13,310.872,478.16,1,5,50,500
2831.82,83.487,412.291,393.865,607.247,578.619,106.81,674.586,1,5,50,500
2574.534,30.898,329.361,744.002,721.306,153.828,374.399,807.168,1,5,50,500
2692.238,79.494,859.023,791.201,441.23,187.3,333.915,973.462,1,5,50,500
2337.811,30.451,369.43,708.984,1214.843,427.167,389.563,554.53,1,5,50,500
3488.11,56.812,645.559,304.978,931.16,248.906,117.833,425.359,1,5,50,500
2351.443,51.543,783.95,325.503,1422.468,252.757,233.865,307.171,1,5,50,500
3686.062,60.973,399.402,517.769,1053.079,426.244,188.719,666.76,1,5,50,500
3486.771,23.719,908.755,303.768,493.177,464.203,162.795,886.455,1,5,50,500
3725.875,64.862,357.597,435.113,1510.576,320.243,336.713,278.528,1,5,50,500
1533.166,72.614,582.815,490.951,1489.955,548.984,370.85,763.847,1,5,50,500
3001.618,86.046,636.965,342.791,936.264,266.099,280.879,388.824,1,5,50,500
3351.791,75.863,760.167,613.204,692.622,161.644,322.367,352.883,1,5,50,500
2884.692,68.02,320.339,798.327,906.486,556.008,182.755,529.35,1,5,50,500
2645.584,59.662,278.71,406.217,516.668,413.518,223.397,953.284,1,5,50,500
1347.813,91.335,795.313,482.815,1390.582,587.873,326.696,586.064,1,5,50,500
3144.724,70.343,300.525,782.915,1141.851,313.244,106.557,769.002,1,5,50,500
3706.252,26.296,647.022,605.534,623.235,403.282,188.155,607.492,1,5,50,500
1305.485,85.856,615.339,792.798,1227.916,157.666,383.718,499.325,1,5,50,500
1625.281,65.899,432.774,254.243,1038.463,207.248,217.718,688.846,1,5,50,500
3530.548,75.056,374.399,323.527,578.611,162.899,232.509,767.507,1,5,50,500
3410.241,84.385,903.495,532.56,1570.085,583.188,141.36,580.771,1,5,50,500
2646.058,44.713,845.937,727.543,885.443,192.176,160.108,351.21,1,5,50,500
2850.932,76.353,576.932,276.764,1008.646,267.153,371.942,955.385,1,5,50,500
1335.58,57.823,355.016,560.076,675.294,293.024,140.407,452.599,1,5,50,500
1220.977,34.674,424.3,739.591,1208.287,377.466,387.126,997.15,1,5,50,500
2985.964,43.623,720.67,794.284,1559.632,551.706,346.402,961.664,1,5,50,500
2247.4,62.404,860.977,558.748,1261.035,560.694,366.672,286.033,1,5,50,500
2325.577,27.36,504.815,475.123,1087.811,575.978,361.888,755.048,1,5,50,500
1941.808,76.23,837.108,374.682,1033.762,291.745,156.771,393.196,1,5,50,500
3761.306,27.85,428.931,558.889,500.112,301.753,216.674,624.147,1,5,50,500
2177.88,79.958,640.38,773.365,543.3,307.003,338.068,846.425,1,5,50,500
2943.976,76.64,805.943,443.788,1132.594,205.642,284.965,329.325,1,5,50,500
3526.099,45.493,740.931,333.081,1242.771,334.926,375.507,630.903,1,5,50,500
1327.273,42.411,682.11,511.854,1275.787,153.199,277.985,292.479,1,5,50,500
1547.383,45.03,695.031,736.385,794.865,230.65,175.463,270.093,1,5,50,500
3249.189,43.571,261.656,465.842,1092.756,454.516,390.038,869.803,1,5,50,500
3140.23,48.013,553.033,627.671,1231.555,171.811,250.419,290.345,1,5,50,500
1392.783,80.572,419.976,507.287,1242.818,204.039,187.149,596.221,1,5,50,500
1681.902,51.852,359.339,340.777,1213.982,573.911,363.13,889.765,1,5,50,500
2764.783,70.61,264.416,245.089,703.148,427.45,279.906,387.72,1,5,50,500
2028.996,63.519,590.927,202.57,1393.931,459.231,394.771,423.858,1,5,50,500
3609.415,68.412,816.345,498.461,653.675,371.467,242.881,768.675,1,5,50,500
1741.281,65.807,769.62,305.73,1073.162,490.109,360.291,695.285,1,5,50,500
3336.867,91.765,817.182,235.496,779.307,248.066,222.791,528.884,1,5,50,500
3613.913,68.273,470.747,327.775,594.136,555.92,226.173,598.615,1,5,50,500
2370.232,88.564,908.61,313.866,1148.503,576.988,371.133,865.508,1,5,50,500
3259.429,65.092,555.739,698.835,1109.283,395.779,181.868,343.765,1,5,50,500
2915.195,72.305,571.531,793.162,693.215,225.717,103.841,401.733,1,5,50,500
1739.769,59.255,546.398,233.116,587.117,574.84,290.241,254.889,1,5,50,500
2357.644,64.201,579.411,520.222,1359.275,202.559,263.447,655.128,1,5,50,500
1574.858,72.883,569.046,404.321,1594.874,178.571,273.841,571.971,1,5,50,500
2822.69,30.141,439.603,428.59,1331.214,432.105,319.336,840.364,1,5,50,500
3304.123,34.834,709.246,456.245,557.001,421.68,186.704,449.405,1,5,50,500
2751.6,84.238,415.52,498.462,1282.378,543.403,283.823,510.294,1,5,50,500
1215.97,65.673,473.819,446.675,1462.074,167.989,289.287,417.701,1,5,50,500
2029.14,28.501,911.779,692.513,1555.814,548.764,173.44,770.501,1,5,50,500
2236.416,72.116,420.745,608.466,1536.184,294.711,360.536,441.631,1,5,50,500
1843.669,51.694,814.193,605.205,1578.43,393.668,394.101,306.52,1,5,50,500
2816.634,59.553,644.983,782.894,1116.687,306.86,313.493,450.187,1,5,50,500
2409.696,59.639,891.651,719.249,579.104,560.746,134.122,982.277,1,5,50,500
2963.845,62.351,731.214,546.868,872.327,268.414,220.9,757.897,1,5,50,500
1220.643,46.15,890.165,604.455,538.598,168.176,214.873,758.44,1,5,50,500
1568.979,41.265,935.723,499.627,1002.172,378.593,218.525,814.068,1,5,50,500
3619.794,31.919,352.281,453.827,635.739,355.071,384.819,819.233,1,5,50,500
2151.295,38.264,432.74,373.814,730.107,512.546,124.839,768.559,1,5,50,500
3112.73,27.899,715.429,280.691,783.73,275.882,296.995,619.386,1,5,50,500
1881.172,85.313,794.306,428.658,1299.264,189.854,251.204,828.412,1,5,50,500
1426.985,60.469,496.026,796.394,1389.219,473.202,313.341,266.661,1,5,50,500
2275.241,70.289,303.888,235.543,1103.897,493.988,332.855,333.447,1,5,50,500
2623.196,65.311,427.311,582.678,1250.687,431.387,157.73,527.068,1,5,50,500
2937.724,74.455,274.293,467.971,900.758,593.224,366.156,461.731,1,5,50,500
3207.937,32.135,278.03,348.798,459.524,237.557,144.939,315.299,1,5,50,500
3724.668,87.469,397.549,277.886,1579.301,253.164,180.639,299.502,1,5,50,500
1971.354,88.702,505.075,748.641,1256.331,426.504,220.097,948.538,1,5,50,500
3372.31,48.44,790.068,775.27,728.495,453.945,185.742,513.633,1,5,50,500
3369.193,60.397,310.773,742.729,828.281,299.607,353.03,459.466,1,5,50,500
3737.923,43.167,479.376,625.32,993.301,444.133,177.386,816.641,1,5,50,500
1662.244,39.472,571.748,579.936,909.117,214.871,392.926,869.164,1,5,50,500
2699.738,84.21,786.836,568.357,663.22,251.458,260.741,325.111,1,5,50,500
1456.234,41.068,593.635,499.818,1164.224,548.712,153.948,516.585,1,5,50,500
2165.532,42.94,833.032,568.195,712.957,186.442,104.802,398.642,1,5,50,500
1654.218,58.724,646.444,736.113,1481.451,522.014,286.553,864.61,1,5,50,500
1836.704,77.268,415.546,739.177,1537.705,476.041,232.176,388.492,1,5,50,500
2260.196,90.329,486.854,403.679,1571.795,161.895,169.987,879.962,1,5,50,500
1391.535,72.768,470.719,283.205,739.187,181.404,361.864,266.774,1,5,50,500
3454.426,66.174,664.998,593.518,1342.964,236.946,371.405,476.528,1,5,50,500
2403.639,53.102,862.49,239.824,598.789,530.229,177.178,388.3,1,5,50,500
3065.681,40.017,418.393,587.74,1074.802,346.407,218.646,506.597,1,5,50,500
1435.283,40.627,502.849,527.603,1323.912,513.182,118.498,931.096,1,5,50,500
3230.083,31.464,290.451,339.033,597.469,429.517,306.689,751.248,1,5,50,500
1535.349,53.426,796.801,524.215,935.07,478.854,264.851,588.814,1,5,50,500
1838.629,55.453,453.748,349.328,1165.869,432.988,202.291,464.432,1,5,50,500
2419.104,66.607,515.279,439.911,649.537,204.887,321.287,880.851,1,5,50,500
1852.609,90.188,477.476,295.534,402.664,311.73,152.76,879.295,1,5,50,500
3265.601,55.339,276.498,302.426,905.074,452.785,310.827,791.98,1,5,50,500
2094.431,53.222,794.106,215.47,715.652,383.29,137.442,713.636,1,5,50,500
1414.278,72.557,443.955,604.861,1205.352,257.395,130.704,529.751,1,5,50,500
1698.118,47.75,649.355,543.254,912.475,219.766,193.964,548.81,1,5,50,500
2969.322,58.318,769.561,747.602,968.2,537.146,383.027,389.491,1,5,50,500
3373.981,83.226,305.763,792.509,1435.427,541.761,150.966,906.847,1,5,50,500
3368.394,32.491,316.76,482.556,420.355,528.033,328.591,272.602,1,5,50,500
1542.783,78.308,339.952,628.593,599.798,195.725,277.554,864.114,1,5,50,500
3581.358,71.163,828.917,394.024,611.897,554.078,185.382,908.611,1,5,50,500
2617.51,53.54,391.89,220.073,996.958,594.47,271.056,669.129,1,5,50,500
3660.265,27.039,826.551,271.828,1375.53,556.786,155.28,586.806,1,5,50,500
3304.947,79.781,574.392,796.035,814.348,415.262,280.368,562.853,1,5,50,500
1950.73,53.394,558.236,468.417,810.825,300.661,226.884,791.548,1,5,50,500
2494.797,36.466,797.341,682.497,931.019,414.266,167.387,941.445,1,5,50,500
3392.435,70.166,532.206,225.455,1487.96,266.258,361.415,264.488,1,5,50,500
1393.724,39.869,602.042,616.741,1440.411,235.692,331.0,692.537,1,5,50,500
3384.522,76.981,242.5,662.639,1260.066,266.864,327.06,764.447,1,5,50,500
1473.573,31.467,931.505,606.511,712.629,381.814,236.95,905.457,1,5,50,500
1539.274,47.067,735.929,608.848,741.86,537.807,228.01,806.706,1,5,50,500
3284.622,25.472,641.472,248.968,540.466,570.963,276.481,410.227,1,5,50,500
1417.027,31.953,346.482,782.124,678.084,239.223,198.47,910.466,1,5,50,500
1767.765,54.422,878.807,386.357,1291.428,377.925,120.707,901.294,1,5,50,500
1888.022,32.347,565.707,448.902,772.346,525.222,314.509,606.32,1,5,50,500
3222.797,40.631,645.217,634.549,1497.335,577.528,163.743,645.464,1,5,50,500
2450.177,83.581,694.756,443.696,701.411,534.245,108.508,393.614,1,5,50,500
3247.668,50.375,321.292,236.11,824.061,328.098,390.63,700.32,1,5,50,500
1662.202,49.486,955.645,556.172,709.642,216.252,194.041,393.429,1,5,50,500
1891.906,24.055,942.958,449.471,495.079,375.228,280.814,958.27,1,5,50,500
1396.213,82.909,700.434,221.364,1559.569,192.587,167.484,668.801,1,5,50,500
1471.158,87.921,586.322,743.759,1471.254,571.81,372.735,552.558,1,5,50,500
1917.013,67.936,482.695,481.88,653.366,542.704,240.727,360.88,1,5,50,500
3194.733,23.763,387.492,766.51,615.808,551.643,159.683,353.371,1,5,50,500
2098.54,61.799,916.401,741.598,1434.189,340.065,381.863,834.392,1,5,50,500
2869.243,51.079,952.025,655.529,1382.745,459.843,369.515,409.619,1,5,50,500
3271.589,51.61,704.437,674.722,1465.156,443.593,363.527,682.796,1,5,50,500
